post,file,account,brand,legacy,followers,likes,comments,shares,date,product,headline,crop_frac,brightness,saturation,contrast,colorfulness,warm_frac,cool_frac,warm_cool_ratio,blue_green_frac,edge_density,sharpness,resolution_px,dom_rgb,exterior,interior,cockpit,charging,real_road,fleet,passengers,driver,women_eld_child,ramp,depot,govt,urban,green_env,perf_metric,human,real_deploy,theme,txt_overlay,bus_area,clutter,neg_space,p_trust,p_modernity,p_comfort,p_access,p_sustain,p_operready,p_appeal,engagement,eng_rate,like_rate,comment_ratio
1,instagram_post (1).jpeg,tatamotorsbusesandvans,Tata,1,153000,23100,71,2,21 May,Ultra Prime,Perfect start to a productive work day,0.73,148.7,44.2,74.0,27.0,0.045,0.269,0.17,0.332,0.0564,652.0,1042404.0,"206,214,223",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Passenger comfort,12.0,0.3,3.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,23171,15.144,15.098,0.31
2,instagram_post (2).jpeg,hindujagroup,Switch,0,13000,85,4,3,~16 Jul,Switch Double-decker,From iconic red buses to a cleaner tomorrow,0.61,121.7,113.0,56.3,48.9,0.96,0.008,104.53,0.008,0.0227,121.0,885162.0,"47,33,22",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Sustainability,15.0,0.35,2.0,4.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,89,0.685,0.654,4.71
3,instagram_post (3).jpeg,olectraofficial,Olectra,0,35000,1534,1,1,4 May,Olectra (2016 heritage),2016 First to Introduce Electric Buses in India,0.76,130.9,120.6,56.1,74.4,0.02,0.659,0.03,0.762,0.0892,834.0,1165720.0,"41,51,54",1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Technology proof,18.0,0.35,4.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,1535,4.386,4.383,0.07
4,instagram_post (4).jpeg,olectraofficial,Olectra,0,35000,1446,4,4,6 May,Olectra (Limca record),"2017 Limca record: first EV bus at 13,000 ft",0.73,120.2,96.0,65.6,60.2,0.661,0.148,4.45,0.146,0.0464,393.0,1086712.0,"122,97,79",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,Operational proof,20.0,0.3,3.0,3.0,4.0,3.0,2.0,2.0,3.0,5.0,4.0,1450,4.143,4.131,0.28
5,instagram_post (5).jpeg,switchmobilityev,Switch,0,41000,1325,5,1,2 Jul,Switch fleet (Prawaas),Leading India towards a better future (Prawaas 5.0),0.75,182.7,114.8,56.1,72.2,0.012,0.763,0.02,0.802,0.0379,296.0,1137882.0,"118,159,198",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tender/fleet milestone,30.0,0.25,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,1330,3.244,3.232,0.38
6,instagram_post (6).jpeg,olectraofficial,Olectra,0,35000,1589,1,2,9 May,Olectra fleet,Silence is the sound of progress,0.73,136.5,135.1,64.1,91.9,0.016,0.85,0.02,0.875,0.0445,618.0,1090912.0,"35,40,55",1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Product showcase,12.0,0.3,2.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,1590,4.543,4.54,0.06
7,instagram_post (7).jpeg,tatamotorsbusesandvans,Tata,1,153000,67,4,1,n/a,Starbus Prime,Engineered for the demands of daily commutes,0.75,139.5,116.0,56.5,51.6,0.016,0.876,0.02,0.893,0.0507,451.0,1080900.0,"51,92,124",1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,Service reliability,14.0,0.3,4.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,3.0,71,0.046,0.044,5.97
8,instagram_post (8).jpeg,olectraofficial,Olectra,0,35000,2154,0,2,5 May,Olectra city EV,Go Electric - Zero-Emission Built for Modern India,0.71,141.8,125.9,72.7,72.3,0.036,0.667,0.06,0.671,0.0554,500.0,1073681.0,"21,45,58",1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,Sustainability,14.0,0.35,3.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,2154,6.154,6.154,0.0
9,instagram_post (9).jpeg,tatamotorsbusesandvans,Tata,1,153000,5968,11,3,6 Jun,Ultra EV,Empowering the way for greener cities (200 kWh),0.72,135.7,73.9,69.9,51.5,0.307,0.309,0.99,0.339,0.0554,642.0,1076480.0,"54,56,59",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,Technology proof,12.0,0.4,3.0,3.0,3.0,5.0,2.0,2.0,3.0,2.0,4.0,5979,3.908,3.901,0.18
10,instagram_post (10).jpeg,tatamotorsbusesandvans,Tata,1,153000,8444,53,2,30 May,Starbus EV,"Driving urban progress, the cleaner way",0.73,139.1,90.0,70.5,53.8,0.02,0.644,0.03,0.679,0.0637,557.0,1096056.0,"30,37,35",1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,Sustainability,12.0,0.45,3.0,3.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,8497,5.554,5.519,0.63
