comment_id,raw_text,entity_name_canonical,entity_type,platform_canonical,speaker_role,speaker_role_final,sentiment_eligible,sentiment_eligible_final,topic_model_eligible,topic_model_eligible_final,human_review_decision,human_review_note
c_ecfdb2eb8b9ff45869d7,"Hi Jayant Sir, love your content 👌🏽there was a lot of noise about Donut Battery during CES 2026 in January. The claims they made were revolutionary and would practically solve all drawbacks that EV batteries have today. Donut Battery would either be the revolution for EVs or the biggest scam. They have launched bikes on pre order on their website, but not much in news post CES 2026. A deep dive on that would be great.",General/Industry,General/Industry,YouTube,audience_user,audience_user,True,False,True,False,modify,Comment requests a video about a battery product and is not specifically about electric buses or bus adoption.
c_602b0ae14ea6e4ae0323,Loot & Scoot,General/Industry,General/Industry,YouTube,audience_user,audience_user,True,False,False,False,modify,Phrase is too context-free and ambiguous to support a reliable EV-bus sentiment label.
c_0400db8433b54a8208e8,Olectra-BYD electric buses are claimed to have clocked close to 6 lakh km in India. This translates to a reduction in carbon emissions.,Olectra Greentech,OEM,Forum,audience_user,media_or_research,True,False,True,False,modify,"Secondary factual/claimed operating statistic, not a first-hand consumer opinion; retain only as market evidence."
c_71b0026ed63ecdeb02c7,Olectra Greentech has a work-life balance rating of 3.6. Teething issues are behind and production is ramping up.,Olectra Greentech,OEM,Review Platform,audience_user,media_or_research,True,False,True,False,modify,Employer-rating and production commentary is not passenger/operator experience and should not enter consumer models.
c_43da812023270a4cbe98,The Tata Starbus Electric is a part of Tata Motors' commitment to sustainable transportation and reducing carbon emissions.,Tata Motors,OEM,YouTube,audience_user,creator_or_brand,True,False,True,False,modify,Corporate sustainability-language reads like Tata brand copy; exclude from consumer analysis.
c_3e3948694f319a9bc07f,"JBM displayed four vehicles - one school bus, one staff bus, one city bus, and one luxury coach.",JBM Auto,OEM,Forum,audience_user,media_or_research,True,False,True,False,modify,Exhibition/product-portfolio statement is factual event coverage rather than consumer experience.
c_a6c1e2af2a5fab483aa2,JBM Eco-Life city bus can seat 72 passengers and has a pneumatically operated wheelchair ramp.,JBM Auto,OEM,Forum,audience_user,media_or_research,True,False,True,False,modify,Bus-capacity/accessibility specifications are product information without a first-hand opinion.
c_94756f39ff862d6f661e,PMI Electro is an OEM engaged in manufacturing electric buses from its unit at Dharuhera.,PMI Electro,OEM,Review Platform,audience_user,media_or_research,True,False,True,False,modify,"Company-description statement is secondary factual material, not consumer sentiment."
c_6baea38a95f738ddcb39,"PMI is now the second largest electric bus brand in India. They have 3,000+ buses on the road.",PMI Electro,OEM,LinkedIn,media_or_research,media_or_research,True,False,True,False,modify,"Market-share/fleet-size claim is secondary factual information, not consumer opinion."
c_322824f018ebeddaa127,PMI electric buses in Mumbai for BEST are helping cities breathe a little easier.,PMI Electro,OEM,LinkedIn,media_or_research,media_or_research,True,False,True,False,modify,Promotional environmental claim without a first-hand user experience; retain separately as market communication evidence.
c_0dc22849f1a34036a7ec,PMI buses have 36 passenger seats and are very silent on the road.,PMI Electro,OEM,News/Media,media_or_research,media_or_research,True,False,True,False,modify,Product specification statement without a first-hand user view; exclude from consumer sentiment and topic models.
c_9eab4c96184cd8e399f8,"PMI Electro wins 5,210 e-bus orders. This will surely improve public transport in many cities.",PMI Electro,OEM,LinkedIn,media_or_research,media_or_research,True,False,True,False,modify,Tender-order statement is secondary market information; retain outside the consumer corpus.
c_c97ec763bc9bfa50f8ba,EKA E9 is described as a clean and efficient public transport for markets like India.,EKA Mobility,OEM,Facebook,audience_user,media_or_research,True,False,True,False,modify,Phrase 'is described as' signals secondary product positioning rather than a user experience.
c_3dbd94b17f614c01aed2,Switch Mobility launches EiV 12 electric bus in India with a maximum range of 300 km per day.,Switch Mobility,OEM,Forum,audience_user,media_or_research,True,False,True,False,modify,"Launch announcement is media/promotional content, not a first-hand user opinion."
c_27f2c18cd36a0c97c0c5,Switch Mobility has launched its Double Decker Bus in India. City range of upto 250km.,Switch Mobility,OEM,Reddit,audience_user,media_or_research,True,False,True,False,modify,Launch-and-range announcement reads as media/promotional information rather than an audience opinion.
c_2d9f262981ee0487043a,I observed that olectra greentech has a work-life balance rating of 3.6. teething issues are behind and production is ramping up.,Olectra Greentech,OEM,Review Platform,audience_user,media_or_research,False,False,False,False,modify,"Work-life-balance and production commentary concerns the company/employer, not EV-bus adoption or passenger experience."
c_aa92eab9962e0e36879c,"The service is terrible. You get a message just 20 minutes before departure saying the bus won't come, and the refund takes 6-7 days to process-it is such a lousy service.",NueGo,Operator,Instagram,unknown,audience_user,True,True,True,True,modify,Clearly a first-person/consumer service complaint; correct unknown speaker role to audience_user.
c_4f8d8956411794461ca6,"Hey Team Tata Motors, I have reached out in your DMs with some details and am waiting for a response. Please have your team take a look! 👍""Team",Tata Motors,OEM,Instagram,audience_user,audience_user,True,False,True,False,modify,"Customer outreach message contains no substantive issue, evaluation, or product/service detail for sentiment or topics."
