image_id,file_path,blip_caption,coder_trust,coder_modernity,coder_comfort,coder_accessibility,coder_env_friendliness,coder_operational_readiness,coder_visual_appeal,coder_notes
053e8112-6bf8-4fd4-8691-8a1bd8a58a1f,images/053e8112-6bf8-4fd4-8691-8a1bd8a58a1f.JPG,open the bang set the story shifts,,,,,,,,
1c3f1cbe-665c-49c9-86db-ee0cb7cc5e2e,images/1c3f1cbe-665c-49c9-86db-ee0cb7cc5e2e.JPG,"tata motors, tata motors, tata motors, tata motors, tata motors, tata motors, tata motors, tata motors, tata motors, tata",,,,,,,,
1d4a1664-699d-4488-8634-f6bdd8553a08,images/1d4a1664-699d-4488-8634-f6bdd8553a08.JPG,a bus with a large number of passengers,,,,,,,,
25365fed-8fba-470c-8f75-785311727ab1,images/25365fed-8fba-470c-8f75-785311727ab1.JPG,"the game ' s menu, with the same text",,,,,,,,
55cba8f5-ec0a-4822-8a64-7e1585d14eb9,images/55cba8f5-ec0a-4822-8a64-7e1585d14eb9.JPG,tata electric vehicles and electric vehicles,,,,,,,,
578aeaf6-7b83-4995-87c9-6216a5dc01fb,images/578aeaf6-7b83-4995-87c9-6216a5dc01fb.JPG,a bunch of buses parked on the side of a road,,,,,,,,
590566b4-289d-4df5-a1a3-912e312dd762,images/590566b4-289d-4df5-a1a3-912e312dd762.JPG,the front page of the german newspaper,,,,,,,,
6120605a-1c59-46b7-b81f-dfd785ea1e5c,images/6120605a-1c59-46b7-b81f-dfd785ea1e5c.JPG,"a bus driving down a road with the words, ' the electric bus '",,,,,,,,
65a3f5bc-b7c7-44e4-a291-5dbd70cd7ca2,images/65a3f5bc-b7c7-44e4-a291-5dbd70cd7ca2.JPG,a newspaper article with a bus and a bus,,,,,,,,
6f3fe3a7-5eb8-4c20-ae85-339fa4997a97,images/6f3fe3a7-5eb8-4c20-ae85-339fa4997a97.JPG,the electric bus is driving down the road,,,,,,,,
70ce1f86-3dfb-43db-ba88-54f3e9568022,images/70ce1f86-3dfb-43db-ba88-54f3e9568022.JPG,the average average of the average average of average average average average average average average average average average average average average,,,,,,,,
7eda105d-3678-455d-a32f-ae272b71bd69,images/7eda105d-3678-455d-a32f-ae272b71bd69.JPG,the new volvo trucks are shown in this image,,,,,,,,
96286661-86a4-44f7-9481-94656d70d22d,images/96286661-86a4-44f7-9481-94656d70d22d.JPG,"the front page of the magazine, with a photo of a bus",,,,,,,,
99eaf606-a8f8-426a-8639-48daefbbe8c9,images/99eaf606-a8f8-426a-8639-48daefbbe8c9.JPG,the news app on the iphone,,,,,,,,
9a3d1d9e-83be-4110-bf7d-f30fae1e9160,images/9a3d1d9e-83be-4110-bf7d-f30fae1e9160.JPG,the new yorks are getting their own,,,,,,,,
EKA (1),images/EKA (1).png,the interior of a car with a dashboard and a steering,,,,,,,,
EKA (2),images/EKA (2).png,a bus with blue seats and a white wall,,,,,,,,
EKA (3),images/EKA (3).png,a bus with blue seats and a white wall,,,,,,,,
EKA (4),images/EKA (4).png,a bus is parked in front of a building,,,,,,,,
EKA (5),images/EKA (5).png,a bus is parked on the side of the road,,,,,,,,
G2dxiJiWoAA5Trp,images/G2dxiJiWoAA5Trp.jpg,a newspaper article with a bus and a map,,,,,,,,
Screenshot 2026-07-17 235633,images/Screenshot 2026-07-17 235633.png,a group of buses parked on the side of a road,,,,,,,,
Screenshot 2026-07-17 235657,images/Screenshot 2026-07-17 235657.png,a bus with a bunch of people standing around it,,,,,,,,
X (1),images/X (1).jpeg,a bunch of buses parked on the side of a road,,,,,,,,
X (2),images/X (2).jpeg,"the front page of the magazine, with a photo of a bus",,,,,,,,
X (3),images/X (3).jpeg,the front page of the news,,,,,,,,
X (4),images/X (4).jpeg,the news app on the iphone,,,,,,,,
X (5),images/X (5).jpeg,a newspaper article with a green bus,,,,,,,,
a76ceafb-c1d9-49db-b9c6-ced76e8433a8,images/a76ceafb-c1d9-49db-b9c6-ced76e8433a8.JPG,cicara bus advertising design,,,,,,,,
e14d23b3-600d-46df-a0bd-97fccc7425bb,images/e14d23b3-600d-46df-a0bd-97fccc7425bb.JPG,ver is not just indian company,,,,,,,,
e50c9414-ef34-4c3e-b1aa-405ea48c4396,images/e50c9414-ef34-4c3e-b1aa-405ea48c4396.JPG,the verv website,,,,,,,,
eb393a23-35c4-4842-8c36-2ce4f02ef776,images/eb393a23-35c4-4842-8c36-2ce4f02ef776.JPG,the bad indian cycle,,,,,,,,
fd5e43b0-ab84-4012-855a-2f9e518738f2,images/fd5e43b0-ab84-4012-855a-2f9e518738f2.JPG,the front page of the news,,,,,,,,
fef89453-a309-4736-b89f-6d1cf7c89b55,images/fef89453-a309-4736-b89f-6d1cf7c89b55.JPG,tata motors and energy mobility solutions,,,,,,,,
olectra,images/olectra.png,a bus with blue seats and blue curtains,,,,,,,,
switch (1),images/switch (1).png,a bus with blue seats and yellow trims,,,,,,,,
switch (2),images/switch (2).png,a bus with yellow and blue seats,,,,,,,,
switch (3),images/switch (3).png,a car with a steering and a steering wheel,,,,,,,,
switch (4),images/switch (4).png,a bus with yellow and blue seats,,,,,,,,
